Factor,Trait_Code,Trait,Source,Source_Label,N_Subgroups,Pearson_r_means,Pearson_p_means,Spearman_rho_means,Spearman_p_means,Pearson_r_effects,Pearson_p_effects
Gender,E,Extroversion,AI_GPT4o_Explicit,GPT Explicit,3,0.9888,0.0955,0.5,0.6667,0.9888,0.0955
Gender,E,Extroversion,AI_GPT4o_NLP,GPT NLP,3,0.9957,0.0592,1.0,0.0,0.9957,0.0592
Gender,A,Agreeableness,AI_GPT4o_Explicit,GPT Explicit,3,0.8479,0.3558,0.5,0.6667,0.8479,0.3558
Gender,A,Agreeableness,AI_GPT4o_NLP,GPT NLP,3,0.8585,0.3428,0.5,0.6667,0.8585,0.3428
Gender,C,Conscientiousness,AI_GPT4o_Explicit,GPT Explicit,3,0.9755,0.1411,1.0,0.0,0.9755,0.1411
Gender,C,Conscientiousness,AI_GPT4o_NLP,GPT NLP,3,0.9889,0.095,1.0,0.0,0.9889,0.095
Gender,N,Emotional Stability,AI_GPT4o_Explicit,GPT Explicit,3,0.857,0.3447,0.5,0.6667,0.857,0.3447
Gender,N,Emotional Stability,AI_GPT4o_NLP,GPT NLP,3,0.9395,0.2225,1.0,0.0,0.9395,0.2225
Gender,O,Openness,AI_GPT4o_Explicit,GPT Explicit,3,-0.0423,0.9731,-0.5,0.6667,-0.0423,0.9731
Gender,O,Openness,AI_GPT4o_NLP,GPT NLP,3,0.4276,0.7187,0.5,0.6667,0.4276,0.7187
Age_Group,E,Extroversion,AI_GPT4o_Explicit,GPT Explicit,5,0.2054,0.7404,0.3,0.6238,0.2054,0.7404
Age_Group,E,Extroversion,AI_GPT4o_NLP,GPT NLP,5,0.2719,0.6582,0.3,0.6238,0.2719,0.6582
Age_Group,E,Extroversion,AI_Qwen_NLP,Qwen NLP,5,-0.7249,0.1658,-0.7,0.1881,-0.7249,0.1658
Age_Group,A,Agreeableness,AI_GPT4o_Explicit,GPT Explicit,5,0.9569,0.0107,1.0,0.0,0.9569,0.0107
Age_Group,A,Agreeableness,AI_GPT4o_NLP,GPT NLP,5,0.9706,0.006,1.0,0.0,0.9706,0.006
Age_Group,A,Agreeableness,AI_Qwen_NLP,Qwen NLP,5,-0.5368,0.3509,-0.2,0.7471,-0.5368,0.3509
Age_Group,C,Conscientiousness,AI_GPT4o_Explicit,GPT Explicit,5,0.9736,0.0051,1.0,0.0,0.9736,0.0051
Age_Group,C,Conscientiousness,AI_GPT4o_NLP,GPT NLP,5,0.997,0.0002,1.0,0.0,0.997,0.0002
Age_Group,C,Conscientiousness,AI_Qwen_NLP,Qwen NLP,5,0.2974,0.627,0.3,0.6238,0.2974,0.627
Age_Group,N,Emotional Stability,AI_GPT4o_Explicit,GPT Explicit,5,0.992,0.0009,1.0,0.0,0.992,0.0009
Age_Group,N,Emotional Stability,AI_GPT4o_NLP,GPT NLP,5,0.9861,0.002,1.0,0.0,0.9861,0.002
Age_Group,N,Emotional Stability,AI_Qwen_NLP,Qwen NLP,5,0.9098,0.0321,1.0,0.0,0.9098,0.0321
Age_Group,O,Openness,AI_GPT4o_Explicit,GPT Explicit,5,0.8467,0.0704,0.8,0.1041,0.8467,0.0704
Age_Group,O,Openness,AI_GPT4o_NLP,GPT NLP,5,-0.211,0.7334,-0.3,0.6238,-0.211,0.7334
Age_Group,O,Openness,AI_Qwen_NLP,Qwen NLP,5,-0.0301,0.9617,0.1,0.8729,-0.0301,0.9617
Race,E,Extroversion,AI_GPT4o_Explicit,GPT Explicit,11,0.6056,0.0483,0.4273,0.1899,0.6056,0.0483
Race,E,Extroversion,AI_GPT4o_NLP,GPT NLP,11,0.3536,0.2861,0.2182,0.5192,0.3536,0.2861
Race,E,Extroversion,AI_Qwen_NLP,Qwen NLP,6,-0.2208,0.6742,-0.4857,0.3287,-0.2208,0.6742
Race,A,Agreeableness,AI_GPT4o_Explicit,GPT Explicit,11,0.2444,0.4688,-0.0638,0.8522,0.2444,0.4688
Race,A,Agreeableness,AI_GPT4o_NLP,GPT NLP,11,0.4057,0.2157,-0.0455,0.8944,0.4057,0.2157
Race,A,Agreeableness,AI_Qwen_NLP,Qwen NLP,6,-0.3771,0.4612,-0.4286,0.3965,-0.3771,0.4612
